created_at	id	text
2016-02-24T18:47:38.000Z	702565567278874624	@caitbateman1 hasn't mentioned it once. Won't take any tylenol so I'm not forcing him. He's just missing bath time with the other two.
2013-10-17T02:16:56.000Z	390662681243680769	My mouth is really irritating me , need some ibuprofen 🙊😖
2015-08-15T16:41:13.000Z	632592892448612352	That clonazepam got me
2016-10-18T01:02:58.000Z	788183558049239040	ibuprofen, hot tea &amp; a bath 💊☕️🙌🏽🛁🌸
2016-11-30T17:59:57.000Z	804022168992546824	I really need some advil pm😔
2014-02-16T09:43:58.000Z	434986503320915968	@shona_darley very sore, so ice, ibuprofen &amp; stretches today!
2015-02-07T15:14:30.000Z	564079764621647872	Da 4 biji panadol aku telan.
2015-08-17T02:35:16.000Z	633104780450230272	Cant wait to take a advil &amp; be knocked out
2015-04-21T20:09:36.000Z	590608341572935681	Boutta go in this house, take some ibuprofen &amp; go to sleep. I'm tired!
2016-12-31T18:36:43.000Z	815265443363622912	@Violetsouffle me too. Just took oxycodone so can now breath through the pain &amp; hopefully now relax.
2015-12-28T12:00:52.000Z	681444703334756352	@abigailsmartin yeah had pains,tht midwife would say take paracetamol it's probably this..but they thought was early labour so was in Hosp X
2012-04-30T20:22:01.000Z	197058247138607104	"“@kaitlynvincie: ...steroid shot in the derriere, almost passed out."" @TheDarrenBrown had one of those!"
2014-10-07T03:51:00.000Z	519334049895444480	So i can take 2 advil pm 😭
2017-01-02T13:03:34.000Z	815906380901187584	"""I do not need a Xanax cause I'm feeling Zen
Only positive vibes what I'm trying to send
I can only get flyer, I'm trying to ascend"" -Cj Fly"
2016-05-27T11:22:43.000Z	736155669808709632	"The only pills I ever took in Ibiza were ibuprofen, so I can't say I relate, but THIS is a CHOOOOON!!
https://t.co/xj4DXqY1Wz"
2016-04-27T16:37:05.000Z	725363146701959173	These midols better kick in before I go and overdose on ibuprofen 🙄
2015-01-14T13:54:11.000Z	555362244264198144	@msbudgetbeauty screaming kids, yeah sure will. i get them all the time for days but mines always dehydration. i have paracetamol everywhere
2016-11-19T17:34:55.000Z	800029599870709760	Someone told me that when people take xanax to have someone around bc you end up stealing and other stuff and I was like omg...
2011-09-16T21:54:57.000Z	114819588763549697	@hillarywith2Ls Your DOCTOR told you praying would help? Maybe s/he meant to say meditation. Or Xanax.
2013-01-18T13:36:38.000Z	292264236078493697	Over the week I've gone through a couple packs of paracetamol !!!!
2016-12-20T20:59:01.000Z	811314990829346816	Stayed home sick today...going to go to urgent care in a few and hopefully get a steroid shot cuz nothing else is working😩
2016-12-23T01:43:57.000Z	812111469152178176	This Motrin need to gon head set in
2015-01-27T21:11:18.000Z	560183289819176962	This 600 mg of ibuprofen ain't working
2014-03-14T23:20:53.000Z	444614172366868481	@sapage89 Hoping you feel better soon, sweetie! Taking tylenol with the hydrocodone makes it more effective.
2013-09-03T20:11:53.000Z	374988136235143168	Bring* me strawberry carmex and tylenol pronto
2016-04-02T00:20:17.000Z	716057631333421056	I've had this headache all day and I can't find my ibuprofen
2016-01-08T04:56:45.000Z	685324237020635136	I just took a melatonin for the first time ever and I can barely stomach ibuprofen so this should be fun 🙆🙆🙆
2016-05-11T18:27:56.000Z	730464474914656256	@CandidKathryn Glad you have troops to command!! Rest that back! ☀️with a cold ice tea &amp; ibuprofen sounds about right!!
2011-11-04T11:17:46.000Z	132416239216771075	needs some more paracetamol but cant yet not or another 3 hours x
2014-04-25T03:12:49.000Z	459530439183454209	The doctor telling me i can take tylenol PM just to help me sleep was the best news ive gotten in awhile. Ready to finally sleep again! 💤💤
2013-07-16T00:01:31.000Z	356926532150763520	@Love_Des92 that's scary! I had to get two steroid shots in my ass when I was pregnant so I feel your pain! I hope everything is okay though
2016-05-17T12:52:56.000Z	732554494073032704	I used to take 3-4 blue xanax a day (prescribed!!)
2015-12-22T20:51:55.000Z	679404017319936002	Definitely not a good day for my back to hurt. So I'm gonna treat myself like a corpsman would; take motrin, drink water, change my socks.
2015-04-05T04:38:30.000Z	584575818493521922	I wish tylenol worked for them!
2017-01-01T14:55:25.000Z	815572140900683782	nahri had this nasty dry cough for 3 days now his albuterol not working
2016-10-18T23:52:33.000Z	788528222745006080	@SophiaBush just seeing this &amp; I hope your cold is gone. Next time try this Advil! It works miracles for me when I have a cold 🤒 https://t.co/f5J2hbcfRD
2016-08-26T05:06:01.000Z	769038167571828736	I need a lorazepam with all of this anxiety 😭
2016-09-25T19:22:48.000Z	780125419983036416	@Sparkle__Monkey That's what I've taken too.  It's taken the edge off.  Got ibuprofen in the house but I'd just be worse if I took it.
2014-06-08T15:22:44.000Z	475659198001598464	Thank god for biofreeze and motrin.
2016-12-03T16:22:56.000Z	805084915335208961	"My headache is @MetroBoomin and the ibuprofen I found is from 2014 😩
Will this help me, have no affect or kill me?"
2011-07-07T02:24:06.000Z	88795392677908480	Tengo un dolor de cabesa. Tylenol por favor !
2012-10-20T09:42:11.000Z	259590327550222336	Can't really feel the effects of the panadol
2016-07-05T19:41:20.000Z	750414276066553856	Today my OB suggested I go on Tylenol PM for sleep issues, Zantac for heartburn &amp; use Icy Hot for back pain. #Pregnancy is magical, you guys
2016-10-09T18:10:37.000Z	785180681378865152	Urghhh..... fluoxetine season is approaching. Can't I just hibernate instead??? 󾰴 https://t.co/2bIXdp0cqb
2014-04-12T12:52:19.000Z	454965234772344832	someone get me a coffee, extra strength tylenol &amp; possible some food #semiformal #cyws #killedit
2014-09-25T22:30:26.000Z	515267109690306560	Upstairs I got Xans in the Advil bottle I don't take them but uuu do so I got em for ya
2014-11-02T04:29:04.000Z	528765711418937344	Xanax: because my nerves can't handle this
2017-01-10T04:55:36.000Z	818682680996827137	@Rica_DoesIt ibuprofen is ok in combo w/the benadryl. I don't know of interactions between hydro&amp; benadryl but both can make you drowsy
2015-01-30T13:44:14.000Z	561157945010819072	When I have headaches, tylenol doesn't help at all
2014-10-05T03:44:16.000Z	518607576339341312	How many Advil can you take in one night? Serious question.
2014-08-20T21:23:43.000Z	502204353403691010	I'm in the axe with my mother driving someone get me a friggen ativan
2016-06-01T19:02:50.000Z	738083400687353857	@HeyWendys @Michael_Dammann @MamaWendys How was he supposed to know those steroids were PEDs?
2014-04-28T00:21:34.000Z	460574507015499776	Having a headache and only being able to take tylenol sucks!!! Doesn't do anything for me: ( #suffering
2015-06-25T19:09:07.000Z	614148331930021888	My legs are so achy, I'm about to say fuck it &amp; take like 5 ibuprofen 😭
2013-12-03T00:21:02.000Z	407665747419488256	I come home to NO ibuprofen like wtf am I gonna do with this toothache?!?!?!
2015-12-22T19:15:07.000Z	679379659667050496	My head is pounding. Someone please bring me some Advil or something
2013-12-13T15:32:10.000Z	411518916952088576	@BfeedingIsNorm I sucked it up and used ibuprofen. I'm glad I did because it brought up both rest and relief.
2015-11-02T04:43:29.000Z	661040912030547968	"""But my Prozac takes away my sex drive so I'm pretty much pure until marriage"" 🕸"
2014-07-25T23:22:41.000Z	492812210209447937	Justin brought home sunflower seeds instead of pumpkin seeds for my panic attack salad. Does this mean I get another Ativan?
2014-06-16T05:39:39.000Z	478411561002749952	This baseball player told me skateboarding lead to drugs n bad things n I was like and sports don't lead to steroids n other shit? FuckNigga
2011-08-31T04:33:56.000Z	108759399065067520	600mg ibuprofen is doing nothing to reduce the swollen purple thing I used to call my right foot. #timetoseethedoctor
2015-05-27T22:22:29.000Z	603687746557771776	@theallergista - I have a tiny excema breakout on my hand for 1st time and dr says steroid cream - is that bad?
2016-03-07T16:10:42.000Z	706874726027669504	The only drugs I got in that hospital the entire time were ibuprofen for swelling. Upwards of 1700 for a shower, and some advil
2016-12-20T11:36:45.000Z	811173489398972420	@DessspicableMe Too stingy to even give a prescription for more paracetamol
2016-12-21T19:39:05.000Z	811657261823258625	@FQMule I can't drink and Xanax
2016-12-20T16:56:05.000Z	811253851303112706	@Lugidog Or advil or aspirin or anything for pain, reduces fever too.
2014-12-21T21:37:54.000Z	546781631646683136	@mireyasaldana21 idk they said somebody was giving them out at work &amp; he took a 600 miligram ibuprofen while being high
2015-02-26T12:47:38.000Z	570928174575562752	"Did you know?

Myth: ""Creatine is a steroid . . . right?""

Fact: WRONG!

Creatine is not a steroid or banned... http://t.co/UVnKttWQdb"
2014-07-25T02:33:37.000Z	492497871191932928	Turn up because there is no tylenol in the house and my head is pounding 😠
2015-06-12T22:27:24.000Z	609487191065018368	Treating this headache with water, coffee, sugar, ibuprofen and a carnival. Some of these are poor choices.
2015-01-13T18:04:22.000Z	555062816936583168	Jfc, you took a muscle relaxer, percocet, AND prozac?!? #911onspeeddial
2016-10-26T20:08:38.000Z	791370976508387328	Thank God ibuprofen worked for this pain.  First assignment finished off and submitted,  now 4 weeks to get the next one done 😦
2013-07-12T06:08:52.000Z	355569426180997122	I will probably live off of numbing gel and ibuprofen forever! It's already been a week of this mouth pain 😩😭
2016-07-30T10:08:55.000Z	759329921407840256	When you feel like death and have no paracetamol left 😭😭 thank the lord for calpol 👍 #neckinghalfabottle
2009-10-20T04:35:45.000Z	5011100470	I can't wait to get home. I'm going to pop 2 tylenol sinus p.m. Pills! I am in some serious sinus pain!! *tear*
2015-05-29T12:16:50.000Z	604260107136851970	Thank god for ibuprofen 🙌🏼
2016-12-28T22:33:03.000Z	814237754955534339	@LeanIago  have them since i was 15. Much worse in pregnancy preheated. All i culd take was paracetamol. May as well take air
2016-01-28T03:10:11.000Z	692545175617474561	The amount of ibuprofen I've consumed in the past 36 hours has to be enough to knock out a small elephant
2015-05-09T04:18:53.000Z	596892069651685376	@HelloBrookElyn_  if he got his shots today that's why, Cullen had one too after his. Just give him a cool bath and some Tylenol
2016-12-26T21:58:00.000Z	813504161203392512	@StuckOnMyThrone Motrin should knock it right out. And if it doesn't in an hour stack Tylenol with it. It's safe because one metabolizes in
2016-12-13T04:49:14.000Z	808534221010702336	For real man. Can I get a xanax or nah? https://t.co/OIl50hO8Kh
2015-09-16T21:58:46.000Z	644269218582659072	Fosho the doc given me some steroids
2014-09-23T01:51:33.000Z	514230558990536704	@perfimperf104 Well thankfully you found the sleep problem! Hopefully Tylenol will help her be able to sleep now! Good luck mama ❤️
2014-12-30T23:04:16.000Z	550064858214203392	Maisie taking full advantage of being 18 and being ibuprofen
2013-10-15T12:38:55.000Z	390094434391437312	Helpful Infographic from @ClevelandClinic on when to choose acetominophen (Tylenol) vs. ibuprofen (Advil). http://t.co/6mfNwP6UEm
2016-12-05T17:32:11.000Z	805827121599942657	Took Gma to bone doc today...her thumb immobility might be arthritis. Creepy steroid shot! Now I need to pack for the trip tomorrow.
2013-07-09T15:12:41.000Z	354619121985527808	Fuck dude i need advil
2014-08-20T19:19:36.000Z	502173120787386368	@_ayoopretty oh noo they told me to buy over the counter motrin i need something strongg
2013-04-13T19:36:23.000Z	323157738286878720	Sometimes you just need a xanax break.
2014-04-12T17:54:02.000Z	455041164073529344	I just find Advil rolling around in my bed nbd
2014-09-15T14:44:25.000Z	511525953433243648	@baby_hampers I'm having antibiotics and I've had my steroids so now just wait and see. Thanks x
2016-03-19T11:21:50.000Z	711150683357982721	{I got up from the bed and moved into the bathroom. Taking the tylenol, not that it was going to do anything, and filled ~ @TemperedCowboy
2016-12-21T17:27:26.000Z	811624129807941632	oxycodone giving my patient diarrhea like shit😷
2016-09-18T00:37:30.000Z	777305511993761792	Officially have the worst back pain in the world, paracetamol literally doesn't touch it😫😪
2014-04-01T19:03:24.000Z	451072353574084609	I hate taking paracetamol but this head ache is to much to handle now 😭
2013-01-01T02:07:40.000Z	285930259675746307	Popped a advil im sweating woh
2016-09-15T04:53:11.000Z	776282695714344960	Wish I could take a Xanax but I have to be up in 4 hours 🙃🙃
2016-12-17T05:52:21.000Z	809999653718499329	i'm super sad bc aria has croup and had to get a steroid to help her breath😢
2016-12-25T21:45:33.000Z	813138637533708289	I need a couple levels up from klonopin for holiday events. I had a delightful  Ativan IV once. that was nice.
2013-08-22T22:00:46.000Z	370666883277524992	Inside, outside, crib, exersaucer, fed, changed, nursed, Ergo, Tylenol. Nothing works. #screamingbaby #tiredmama #whowantshairanyway
2012-08-04T01:27:15.000Z	231561905624477696	It's gunna be an ice, advil and brace kind of weekend.
2014-03-31T04:36:08.000Z	450491713560141826	Two norcos and two 800 mg ibuprofen and I still feel this shit😒
2014-08-20T02:46:44.000Z	501923257386536960	@hilary_salinas I gave him like ice cold water with pedialite gave him a Luke warm bath, Tylenol, cold rag. His fever was freakin 102!!
2015-05-14T20:26:01.000Z	598947396450525184	Someone must have slipped me a xanax in my drink today..sleepy af😴
2014-11-22T14:58:05.000Z	536171766742532096	@Ron215_ 😂😂😂 you'll be ard, take some motrin and drink ginger ale
2016-08-16T19:22:19.000Z	765629782952386560	In so much pain and not even got any bloody paracetamol 😓😓😓
2014-03-22T03:06:17.000Z	447207609402019841	Am I allowed to take ibuprofen for headaches and back aches?! I hurtttt 󾍆
2016-06-01T15:25:50.000Z	738028792552292353	People are fukkin stupid xanax are prescription pills for people with anxiety and bad nerves! It is not a form of crack dumb asses
2017-01-10T18:56:26.000Z	818894283549900803	"I shit you not. Me having a cold is ""endangering"" to my child. . .
Meanwhile, the batshit roommate popped klonopin near my kid (not cool)"
2014-05-12T02:22:16.000Z	465678314095796224	That moment when you realize you can't touch your husband because he used a steroid med on his skin &amp; it'll raise your BG. #t1realtalk
2015-07-17T10:45:47.000Z	621994197113946112	Tylenol ain't gonna do it
2014-11-29T02:50:46.000Z	538525445797736448	"HEY @KaylaMckeel how is that ""ibuprofen"" treating you!? 
🙈🙅🙊🔥😂😘"
2015-12-01T15:50:02.000Z	671717903742468096	@NurseEyeRoll there isn't much. Tylenol is pretty much it. I took beta carotene to help my immune system fight it!
2014-08-21T13:36:21.000Z	502449126819528704	im about to be so mad if I went to the doctors and got a steroid shot for some frickin hives when this bs might actually be bug bites..
2015-01-08T10:42:49.000Z	553139758042710016	Dr told me to eat carbs until I've finished steroid treatment for my Bells Palsy yesterday. I've woken up craving cake like a pregnant lady!
2014-04-06T08:02:47.000Z	452718044230746112	Fucking love jade come down with a cuppa and paracetamol - the love I have  for her 💖💖
2014-04-08T01:51:32.000Z	453349392071028736	My steroid cheeks baby❤😘❤😘 http://t.co/pZ7U6Z01Tj
2015-10-14T07:43:00.000Z	654200717670879232	Gm toothache u know how much i love u waking me up this early. Of course no open store nearby for some advil smfh.
2015-01-31T00:22:14.000Z	561318503358406660	Oh helllooo ativan and alchahol and no feelings:)
2015-04-10T14:37:32.000Z	586538508988350465	24. Medication in #pregnancy - you have to suffer through most ailments. If paracetamol cannot fix it then just be strong
2014-10-18T07:24:26.000Z	523374026056413185	@iNTUiTiVE21 i say absolutely NO steroid creams. http://t.co/6YImKpZqNO is a good website to find out why. Other than that, id say go as
2015-12-01T09:16:34.000Z	671618882394714112	Interestingly enough, I get a lot more done when I take more of my klonopin.
2014-07-12T01:22:50.000Z	487769015834931200	About to take some tylenol and go to bed
2015-09-18T02:56:02.000Z	644706417480302592	I'm gonna pop some Xanax, only got anxiety in my pocket.
2016-08-24T13:07:03.000Z	768434448304074753	Why the fuck is not being able to breathe a side effect from my steroid inhaler just HELP ME damn
2016-03-04T16:01:51.000Z	705785336539029505	Research shows efficacy of steroid use in late preterm delivery https://t.co/ZJEx0IfZe7
2016-08-19T15:21:49.000Z	766656423908347907	And free ibuprofen from Giant Eagle!
2013-04-24T23:32:14.000Z	327203358781865984	Beat that pussy, go to sleep. She got that tylenol P.M.
